market,market_date,is_market_open
KR,2026-01-12,1
US,2026-01-12,1
KR,2026-01-13,1
US,2026-01-13,1
KR,2026-01-14,1
US,2026-01-14,1
KR,2026-01-15,1
US,2026-01-15,1
KR,2026-01-16,1
US,2026-01-16,1
KR,2026-01-19,1
US,2026-01-19,0
KR,2026-01-20,1
US,2026-01-20,1
KR,2026-01-21,1
US,2026-01-21,1
KR,2026-01-22,1
US,2026-01-22,1
KR,2026-01-23,1
US,2026-01-23,1
KR,2026-01-26,1
US,2026-01-26,1
KR,2026-01-27,1
US,2026-01-27,1
KR,2026-01-28,1
US,2026-01-28,1
KR,2026-01-29,1
US,2026-01-29,1
KR,2026-01-30,1
US,2026-01-30,1
KR,2026-02-02,1
US,2026-02-02,1
KR,2026-02-03,1
US,2026-02-03,1
KR,2026-02-04,1
US,2026-02-04,1
KR,2026-02-05,1
US,2026-02-05,1
KR,2026-02-06,1
US,2026-02-06,1
KR,2026-02-09,1
US,2026-02-09,1
KR,2026-02-10,1
US,2026-02-10,1
KR,2026-02-11,1
US,2026-02-11,1
KR,2026-02-12,1
US,2026-02-12,1
KR,2026-02-13,1
US,2026-02-13,1
KR,2026-02-16,0
US,2026-02-16,0
KR,2026-02-17,0
US,2026-02-17,1
KR,2026-02-18,0
US,2026-02-18,1
KR,2026-02-19,1
US,2026-02-19,1
KR,2026-02-20,1
US,2026-02-20,1
KR,2026-02-23,1
US,2026-02-23,1
KR,2026-02-24,1
US,2026-02-24,1
KR,2026-02-25,1
US,2026-02-25,1
KR,2026-02-26,1
US,2026-02-26,1
KR,2026-02-27,1
US,2026-02-27,1
KR,2026-03-02,0
US,2026-03-02,1
KR,2026-03-03,1
US,2026-03-03,1
KR,2026-03-04,1
US,2026-03-04,1
KR,2026-03-05,1
US,2026-03-05,1
KR,2026-03-06,1
US,2026-03-06,1
KR,2026-03-09,1
US,2026-03-09,1
KR,2026-03-10,1
US,2026-03-10,1
KR,2026-03-11,1
US,2026-03-11,1
KR,2026-03-12,1
US,2026-03-12,1
KR,2026-03-13,1
US,2026-03-13,1
KR,2026-03-16,1
US,2026-03-16,1
KR,2026-03-17,1
US,2026-03-17,1
KR,2026-03-18,1
US,2026-03-18,1
KR,2026-03-19,1
US,2026-03-19,1
KR,2026-03-20,1
US,2026-03-20,1
KR,2026-03-23,1
US,2026-03-23,1
KR,2026-03-24,1
US,2026-03-24,1
KR,2026-03-25,1
US,2026-03-25,1
KR,2026-03-26,1
US,2026-03-26,1
KR,2026-03-27,1
US,2026-03-27,1
KR,2026-03-30,1
US,2026-03-30,1
KR,2026-03-31,1
US,2026-03-31,1
KR,2026-04-01,1
US,2026-04-01,1
KR,2026-04-02,1
US,2026-04-02,1
KR,2026-04-03,1
US,2026-04-03,0
KR,2026-04-06,1
US,2026-04-06,1
KR,2026-04-07,1
US,2026-04-07,1
KR,2026-04-08,1
US,2026-04-08,1
KR,2026-04-09,1
US,2026-04-09,1
KR,2026-04-10,1
US,2026-04-10,1
KR,2026-04-13,1
US,2026-04-13,1
KR,2026-04-14,1
US,2026-04-14,1
KR,2026-04-15,1
US,2026-04-15,1
KR,2026-04-16,1
US,2026-04-16,1
KR,2026-04-17,1
US,2026-04-17,1
KR,2026-04-20,1
US,2026-04-20,1
KR,2026-04-21,1
US,2026-04-21,1
KR,2026-04-22,1
US,2026-04-22,1
KR,2026-04-23,1
US,2026-04-23,1
KR,2026-04-24,1
US,2026-04-24,1
KR,2026-04-27,1
US,2026-04-27,1
KR,2026-04-28,1
US,2026-04-28,1
KR,2026-04-29,1
US,2026-04-29,1
KR,2026-04-30,1
US,2026-04-30,1
KR,2026-05-01,0
US,2026-05-01,1
KR,2026-05-04,1
US,2026-05-04,1
KR,2026-05-05,0
US,2026-05-05,1
KR,2026-05-06,1
US,2026-05-06,1
KR,2026-05-07,1
US,2026-05-07,1
KR,2026-05-08,1
US,2026-05-08,1
KR,2026-05-11,1
US,2026-05-11,1
KR,2026-05-12,1
US,2026-05-12,1
KR,2026-05-13,1
US,2026-05-13,1
KR,2026-05-14,1
US,2026-05-14,1
KR,2026-05-15,1
US,2026-05-15,1
KR,2026-05-18,1
US,2026-05-18,1
KR,2026-05-19,1
US,2026-05-19,1
KR,2026-05-20,1
US,2026-05-20,1
KR,2026-05-21,1
US,2026-05-21,1
KR,2026-05-22,1
US,2026-05-22,1
KR,2026-05-25,0
US,2026-05-25,0
KR,2026-05-26,1
US,2026-05-26,1
KR,2026-05-27,1
US,2026-05-27,1
KR,2026-05-28,1
US,2026-05-28,1
KR,2026-05-29,1
US,2026-05-29,1
KR,2026-06-01,1
US,2026-06-01,1
KR,2026-06-02,1
US,2026-06-02,1
KR,2026-06-03,0
US,2026-06-03,1
KR,2026-06-04,1
US,2026-06-04,1
KR,2026-06-05,1
US,2026-06-05,1
KR,2026-06-08,1
US,2026-06-08,1
KR,2026-06-09,1
US,2026-06-09,1
KR,2026-06-10,1
US,2026-06-10,1
KR,2026-06-11,1
US,2026-06-11,1
KR,2026-06-12,1
US,2026-06-12,1
KR,2026-06-15,1
US,2026-06-15,1
KR,2026-06-16,1
US,2026-06-16,1
KR,2026-06-17,1
US,2026-06-17,1
KR,2026-06-18,1
US,2026-06-18,1
KR,2026-06-19,1
US,2026-06-19,0
KR,2026-06-22,1
US,2026-06-22,1
KR,2026-06-23,1
US,2026-06-23,1
KR,2026-06-24,1
US,2026-06-24,1
KR,2026-06-25,1
US,2026-06-25,1
KR,2026-06-26,1
US,2026-06-26,1
KR,2026-06-29,1
US,2026-06-29,1
KR,2026-06-30,1
US,2026-06-30,1
KR,2026-07-01,1
US,2026-07-01,0
